list_name	name	label	region	province	cat	dealer	dealer1	dealer2	dealer3	dealer4	dealer5	dealer6	dealer7	dealer8	dealer9
province	kep	Kep				ktr4									
province	kkg	Koh Kong				kkg3	sra5								
province	kkr	Kratie				krt1	ksa5	snl6	str3						
province	mkiri	Mondul Kiri				ksa5	mdk2								
province	omeanc	Oddar Meanchey				avg4	smr5								
province	ppa	Pailin				pln4									
province	pp	Phnom Penh				ca1	ca2	ca3	ca4	ca5	ca6	ca7	ca8	ca9	kd1
province	psihan	Preah Sihanouk				ksm1	pnp6	sra5							
province	pvihea	Preah Vihear				cks1	pvh3								
province	pv	Prey Veng				ptm6	ktb1	pmr5	sva7	tkm2					
province	ppu	Pursat				mrs5	pus5	vvg1							
province	rkir	Ratanak Kiri				bke7	rtk4								
province	sr	Siemreap				chk6	puk7	srp1							
province	streng	Stung Treng				str3									
province	svr	Svay Rieng				cph2	svr4								
province	tke	Takeo				bti6	krv5	pkb4	tak2						
province	tkhmu	Tboung Khmum				mmt3	tkm2								
district	omaec	Odongk Maechay		kspe		tpg2	ca1								
district	as	Angk Snuol		kd		ca7	ca1								
district	plueu	Ponhea Lueu		kd		ca8	ca1								
district	praekpnov	Praek Pnov		pp		ca9	ca1	ca5	ca7						
district	russeykeo	Russey Keo		pp		ca5	ca1								
district	bkk	Boeng Keng Kang		pp		ca2									
district	chamkarmon	Chamkar Mon		pp		ca2									
district	dounpenh	Doun Penh		pp		ca5	ca2								
district	pmea	Prampir Meakkakra		pp		ca2									
district	dangkao	Dangkao		pp		kd1	ca3	ca4							
district	meanchey	Mean Chey		pp		ca3									
district	saensokh	Saensokh		pp		ca9	ca3	ca5							
district	kamboul	Kamboul		pp		ca7	ca4								
district	pursenchey	Pur SenChey		pp		ca9	ca4	ca7							
district	tuolkouk	Tuol Kouk		pp		ca5									
district	kiensvay	Kien Svay		kd		ksv5	ca6								
district	chbarampov	Chbar Ampov		pp		ca6									
district	mukhkampul	Mukh Kampul		kd		ca8									
district	chraoychongvar	Chraoy Chongvar		pp		ca8									
district	kaohsoutin	Kaoh Soutin		kc		tkm2	ptm6	kcm1							
district	sreisanthor	Srei Santhor		kc		ptm6									
district	khsachkandal	Khsach Kandal		kd		ptm6									
district	lveaaem	Lvea Aem		kd		ptm6									
district	akreiyksatr	Akreiy Ksatr		kd		ptm6									
district	peareang	Pea Reang		pv		sva7	ptm6								
district	purrieng	Pur Rieng		pv		sva7	ptm6								
district	basedth	Basedth		kspe		kps7	bti6								
district	kongpisei	Kong Pisei		kspe		kps7	bti6	kd1							
district	bati	Bati		tke		pkb4	bti6								
